timestamp_ns,thread_index,role,event,item_id
40968,0,P,P_REQ,0
96991,0,P,P_DONE,0
122424,3,P,P_REQ,3
130042,3,P,P_DONE,3
88708,2,P,P_REQ,2
157862,2,P,P_DONE,2
51795,1,P,P_REQ,1
221640,1,P,P_DONE,1
233514,4,P,P_REQ,4
246143,4,P,P_DONE,4
328303,5,P,P_REQ,5
330545,5,P,P_DONE,5
521444,6,P,P_REQ,6
523596,6,P,P_DONE,6
539671,7,P,P_REQ,7
541843,7,P,P_DONE,7
571059,8,P,P_REQ,8
603469,8,P,P_DONE,8
616439,0,C,C_REQ,-1
618679,0,C,C_DONE,0
648077,1,C,C_REQ,-1
650051,1,C,C_DONE,3
650212,2,C,C_REQ,-1
652042,2,C,C_DONE,2
688137,3,C,C_REQ,-1
689451,3,C,C_DONE,1
722356,4,C,C_REQ,-1
723663,4,C,C_DONE,4
745069,5,C,C_REQ,-1
747039,5,C,C_DONE,5
749635,7,C,C_REQ,-1
753996,7,C,C_DONE,6
750812,6,C,C_REQ,-1
773991,6,C,C_DONE,7
819305,8,C,C_REQ,-1
821185,8,C,C_DONE,8
862728,9,C,C_REQ,-1
866997,0,P,P_REQ,10
876772,0,P,P_DONE,10
586807,9,P,P_REQ,9
902240,9,P,P_DONE,9
962438,9,C,C_DONE,10
1256111,2,C,C_REQ,-1
1258095,2,C,C_DONE,9
2403509,1,C,C_REQ,-1
2406728,0,C,C_REQ,-1
2413126,7,P,P_REQ,11
2417349,7,P,P_DONE,11
2425488,1,C,C_DONE,11
3842583,1,P,P_REQ,12
3848308,1,P,P_DONE,12
3854675,0,C,C_DONE,12
4596516,0,P,P_REQ,13
4598522,0,P,P_DONE,13
6067882,2,P,P_REQ,14
6070572,2,P,P_DONE,14
6073179,2,P,P_REQ,15
6073333,2,P,P_DONE,15
6077419,7,P,P_REQ,16
6079336,2,C,C_REQ,-1
6084234,2,C,C_DONE,13
6079674,7,P,P_DONE,16
6087575,5,C,C_REQ,-1
6088799,5,C,C_DONE,14
6447320,8,P,P_REQ,17
6493812,8,P,P_DONE,17
6447317,8,C,C_REQ,-1
