timestamp_ns,thread_index,role,event,item_id
56763953,1,C,C_REQ,-1
56735209,1,P,P_REQ,50
56770660,1,P,P_DONE,50
56735213,0,P,P_REQ,51
56781516,0,P,P_DONE,51
56755114,4,C,C_REQ,-1
56791206,4,C,C_DONE,49
56774213,1,C,C_DONE,48
57010131,4,P,P_REQ,52
57012356,4,P,P_DONE,52
58069762,3,C,C_REQ,-1
58072101,3,C,C_DONE,50
59337641,1,C,C_REQ,-1
59341903,1,C,C_DONE,51
60505031,3,P,P_REQ,53
60508044,3,P,P_DONE,53
61101697,0,P,P_REQ,54
61104163,0,P,P_DONE,54
61111149,2,C,C_REQ,-1
61112686,2,C,C_DONE,52
61114083,2,C,C_REQ,-1
61114265,2,C,C_DONE,53
61119473,4,P,P_REQ,55
61122017,4,P,P_DONE,55
62287996,0,C,C_REQ,-1
62291002,0,C,C_DONE,54
64905966,2,P,P_REQ,56
64908503,2,P,P_DONE,56
64911476,2,P,P_REQ,57
64911618,2,P,P_DONE,57
64918044,1,C,C_REQ,-1
64920182,1,C,C_DONE,55
66086051,0,C,C_REQ,-1
66088351,0,C,C_DONE,56
66173841,4,P,P_REQ,58
66176113,4,P,P_DONE,58
66178476,4,P,P_REQ,59
66178618,4,P,P_DONE,59
66182672,3,C,C_REQ,-1
66183980,3,C,C_DONE,57
67273247,1,P,P_REQ,60
67275420,1,P,P_DONE,60
67281767,4,C,C_REQ,-1
67283034,4,C,C_DONE,58
68740704,3,P,P_REQ,61
68742829,3,P,P_DONE,61
71161459,0,P,P_REQ,62
71164440,0,P,P_DONE,62
71172448,2,C,C_REQ,-1
71173690,2,C,C_DONE,59
71205503,2,P,P_REQ,63
71207621,2,P,P_DONE,63
73719274,1,C,C_REQ,-1
73722175,1,C,C_DONE,60
74827225,4,C,C_REQ,-1
74829692,4,C,C_DONE,61
75359285,0,C,C_REQ,-1
75364303,0,C,C_DONE,62
75377087,0,P,P_REQ,64
75378852,0,P,P_DONE,64
75382898,3,C,C_REQ,-1
75409757,3,C,C_DONE,63
75383946,2,C,C_REQ,-1
75417157,2,C,C_DONE,64
75396618,4,P,P_REQ,65
75421744,4,P,P_DONE,65
76680905,0,C,C_REQ,-1
76685459,0,C,C_DONE,65
76689970,1,P,P_REQ,66
76692672,1,P,P_DONE,66
76963937,1,C,C_REQ,-1
76966335,1,C,C_DONE,66
76968571,1,C,C_REQ,-1
77897739,4,C,C_REQ,-1
79173648,0,P,P_REQ,67
79179638,0,P,P_DONE,67
79185216,2,C,C_REQ,-1
79186584,2,C,C_DONE,67
79189360,2,P,P_REQ,68
79193280,2,P,P_DONE,68
79194378,2,P,P_REQ,69
79194528,2,P,P_DONE,69
79197491,1,C,C_DONE,68
79198983,3,P,P_REQ,70
79201439,3,P,P_DONE,70
79201490,4,C,C_DONE,69
80503021,1,P,P_REQ,71
80504860,1,P,P_DONE,71
80506938,1,P,P_REQ,72
80507088,1,P,P_DONE,72
81596811,0,C,C_REQ,-1
81599010,0,C,C_DONE,70
83331486,2,C,C_REQ,-1
83333769,2,C,C_DONE,71
85399904,0,C,C_REQ,-1
85402436,0,C,C_DONE,72
85408618,0,P,P_REQ,73
85410017,0,P,P_DONE,73
85413146,2,P,P_REQ,74
85414415,2,P,P_DONE,74
85417573,3,C,C_REQ,-1
85418805,3,C,C_DONE,73
85419091,4,C,C_REQ,-1
85421253,4,C,C_DONE,74
85421682,4,P,P_REQ,75
85423007,4,P,P_DONE,75
85423642,4,C,C_REQ,-1
85423936,4,C,C_DONE,75
85424197,4,P,P_REQ,76
85424486,4,P,P_DONE,76
85429034,3,P,P_REQ,77
85430458,3,P,P_DONE,77
85431407,1,C,C_REQ,-1
85433589,1,C,C_DONE,76
85436025,1,C,C_REQ,-1
85436157,1,C,C_DONE,77
87742188,2,P,P_REQ,78
87753850,2,P,P_DONE,78
87742949,4,P,P_REQ,79
87773145,4,P,P_DONE,79
88570955,0,P,P_REQ,80
88572544,0,P,P_DONE,80
90296258,2,P,P_REQ,81
90305771,1,P,P_REQ,82
90310252,1,P,P_DONE,82
90325635,1,P,P_REQ,83
90325908,1,P,P_DONE,83
90305964,2,P,P_DONE,81
90297439,1,C,C_REQ,-1
90337464,1,C,C_DONE,78
91912602,2,C,C_REQ,-1
91914660,2,C,C_DONE,79
91925768,4,C,C_REQ,-1
91926751,4,C,C_DONE,80
91929479,3,P,P_REQ,84
91930643,3,P,P_DONE,84
92380973,1,P,P_REQ,85
92382852,1,P,P_DONE,85
92386851,0,C,C_REQ,-1
92387906,0,C,C_DONE,81
93903617,4,P,P_REQ,87
93908711,4,P,P_DONE,87
93903613,0,P,P_REQ,86
93911037,0,P,P_DONE,86
93916293,3,C,C_REQ,-1
93918173,3,C,C_DONE,82
96631287,1,C,C_REQ,-1
96633327,1,C,C_DONE,83
96638888,4,C,C_REQ,-1
96640075,4,C,C_DONE,84
96642793,3,P,P_REQ,88
96644002,3,P,P_DONE,88
96669003,1,P,P_REQ,89
96671110,1,P,P_DONE,89
96673265,1,P,P_REQ,90
96673405,1,P,P_DONE,90
98270716,2,P,P_REQ,91
98272917,2,P,P_DONE,91
99285310,2,C,C_REQ,-1
99287282,2,C,C_DONE,85
100694560,0,P,P_REQ,92
100696302,0,P,P_DONE,92
100707189,3,C,C_REQ,-1
100710514,3,C,C_DONE,87
101999339,3,C,C_REQ,-1
102001663,3,C,C_DONE,86
102698087,4,P,P_REQ,93
102700316,4,P,P_DONE,93
102702439,4,P,P_REQ,94
102702605,4,P,P_DONE,94
102935312,3,P,P_REQ,95
102937737,3,P,P_DONE,95
102942805,2,P,P_REQ,96
102943969,2,P,P_DONE,96
103291880,3,C,C_REQ,-1
103293786,3,C,C_DONE,88
103300885,0,C,C_REQ,-1
103302325,0,C,C_DONE,89
105462755,1,P,P_REQ,97
105464817,1,P,P_DONE,97
105469759,0,C,C_REQ,-1
105470864,0,C,C_DONE,90
105484842,2,P,P_REQ,98
105492490,1,C,C_REQ,-1
105494540,1,C,C_DONE,91
105494953,2,P,P_DONE,98
105485051,2,C,C_REQ,-1
105499000,2,C,C_DONE,92
106759036,0,C,C_REQ,-1
106760892,0,C,C_DONE,93
109689900,0,P,P_REQ,99
109708833,0,P,P_DONE,99
109689896,4,C,C_REQ,-1
111626479,4,C,C_DONE,94
111632795,1,P,P_REQ,100
111634377,1,P,P_DONE,100
111638767,0,C,C_REQ,-1
111642550,4,P,P_REQ,102
111639981,0,P,P_REQ,101
111652760,0,P,P_DONE,101
111643798,0,C,C_DONE,95
111646866,4,P,P_DONE,102
111682153,4,P,P_REQ,103
111682665,4,P,P_DONE,103
112932459,0,C,C_REQ,-1
112935476,0,C,C_DONE,96
114197260,1,P,P_REQ,104
114199235,1,P,P_DONE,104
114200609,3,P,P_REQ,105
114202903,3,P,P_DONE,105
114212419,3,C,C_REQ,-1
114214606,3,C,C_DONE,97
114216755,3,C,C_REQ,-1
114216884,3,C,C_DONE,98
114203508,2,C,C_REQ,-1
114223431,2,C,C_DONE,99
114931196,1,C,C_REQ,-1
114933373,1,C,C_DONE,100
114939176,2,P,P_REQ,106
114940692,2,P,P_DONE,106
116062858,4,P,P_REQ,107
116065555,4,P,P_DONE,107
116068219,4,P,P_REQ,108
116086598,4,P,P_DONE,108
117466704,1,C,C_REQ,-1
117468335,1,C,C_DONE,102
117472956,0,C,C_REQ,-1
117474222,0,C,C_DONE,101
117477145,3,C,C_REQ,-1
117478261,3,C,C_DONE,103
118764415,0,C,C_REQ,-1
118766236,0,C,C_DONE,104
119196003,0,P,P_REQ,109
119198240,0,P,P_DONE,109
119209355,1,P,P_REQ,110
119210534,1,P,P_DONE,110
120507243,3,P,P_REQ,111
120509368,3,P,P_DONE,111
120514808,2,C,C_REQ,-1
120516152,2,C,C_DONE,105
121305148,0,C,C_REQ,-1
121307007,0,C,C_DONE,106
122376925,4,P,P_REQ,112
122378922,4,P,P_DONE,112
122766492,4,C,C_REQ,-1
122768672,4,C,C_DONE,107
123221316,1,P,P_REQ,113
123223204,1,P,P_DONE,113
126159063,2,P,P_REQ,114
126161252,2,P,P_DONE,114
126166133,3,P,P_REQ,115
126167146,3,P,P_DONE,115
126169376,2,C,C_REQ,-1
126170392,2,C,C_DONE,108
126203805,1,C,C_REQ,-1
126204966,1,C,C_DONE,109
126205209,0,C,C_REQ,-1
126207172,0,C,C_DONE,110
126208108,3,C,C_REQ,-1
126209244,3,C,C_DONE,111
127256268,1,P,P_REQ,116
127258158,1,P,P_DONE,116
127469473,0,C,C_REQ,-1
127471290,0,C,C_DONE,112
127532986,4,P,P_REQ,117
127534888,4,P,P_DONE,117
127537085,4,P,P_REQ,118
127537297,4,P,P_DONE,118
128755302,1,C,C_REQ,-1
128757301,1,C,C_DONE,113
129981969,0,P,P_REQ,119
129988064,0,P,P_DONE,119
129981972,1,C,C_REQ,-1
129990186,1,C,C_DONE,114
129995159,3,C,C_REQ,-1
129996527,3,C,C_DONE,115
131082747,0,P,P_REQ,120
131085047,0,P,P_DONE,120
131090550,1,C,C_REQ,-1
131091925,1,C,C_DONE,116
131160997,4,C,C_REQ,-1
131162630,4,C,C_DONE,117
131597007,1,P,P_REQ,121
131599170,1,P,P_DONE,121
132380186,1,C,C_REQ,-1
132385467,1,C,C_DONE,118
132380182,2,P,P_REQ,122
132388309,2,P,P_DONE,122
132392930,2,C,C_REQ,-1
132395093,2,C,C_DONE,119
133519704,2,C,C_REQ,-1
133521466,2,C,C_DONE,120
134524760,1,C,C_REQ,-1
134526640,1,C,C_DONE,121
134548777,4,P,P_REQ,123
134561613,4,P,P_DONE,123
135816064,1,C,C_REQ,-1
135818045,1,C,C_DONE,122
135830669,2,C,C_REQ,-1
135831832,2,C,C_DONE,123
135834544,3,P,P_REQ,124
135836002,3,P,P_DONE,124
135838820,0,C,C_REQ,-1
135840055,0,C,C_DONE,124
137109517,1,C,C_REQ,-1
137117744,0,P,P_REQ,125
137122013,0,P,P_DONE,125
137126470,1,C,C_DONE,125
137887324,1,P,P_REQ,126
137889518,1,P,P_DONE,126
139429882,3,C,C_REQ,-1
139432652,3,C,C_DONE,126
139439165,4,C,C_REQ,-1
141174261,2,P,P_REQ,127
141180768,2,P,P_DONE,127
141186172,4,C,C_DONE,127
141195027,0,P,P_REQ,128
141231855,0,P,P_DONE,128
