timestamp_ns,thread_index,role,event,item_id
49890,0,P,P_REQ,0
85154,1,C,C_REQ,-1
108016,1,C,C_DONE,0
77000,0,C,C_REQ,-1
89165,0,P,P_DONE,0
66171,1,P,P_REQ,1
128956,1,P,P_DONE,1
133777,0,C,C_DONE,1
247796,1,C,C_REQ,-1
4368846,0,P,P_REQ,2
4375337,0,P,P_DONE,2
4386529,1,C,C_DONE,2
5857580,1,C,C_REQ,-1
6531217,1,P,P_REQ,3
6589294,1,P,P_DONE,3
6627437,1,C,C_DONE,3
8021408,0,P,P_REQ,4
8045475,0,P,P_DONE,4
10188675,0,C,C_REQ,-1
10190922,0,C,C_DONE,4
10636195,1,P,P_REQ,5
10638499,1,P,P_DONE,5
15230623,0,P,P_REQ,6
15232536,0,P,P_DONE,6
15251650,1,C,C_REQ,-1
15253801,1,C,C_DONE,5
17438724,0,C,C_REQ,-1
17441240,0,C,C_DONE,6
20664384,1,P,P_REQ,7
20667926,1,P,P_DONE,7
20671590,1,P,P_REQ,8
20671844,1,P,P_DONE,8
22337595,1,C,C_REQ,-1
22422287,1,C,C_DONE,7
22426306,1,C,C_REQ,-1
22426604,1,C,C_DONE,8
23267212,0,P,P_REQ,9
23269733,0,P,P_DONE,9
24468769,0,C,C_REQ,-1
24471947,0,C,C_DONE,9
24943509,1,C,C_REQ,-1
28917715,1,P,P_REQ,10
28932655,1,P,P_DONE,10
28944556,1,C,C_DONE,10
29537596,0,P,P_REQ,11
29540081,0,P,P_DONE,11
29543137,0,P,P_REQ,12
29543372,0,P,P_DONE,12
31209797,0,C,C_REQ,-1
31214022,0,C,C_DONE,11
39301305,0,C,C_REQ,-1
39301301,1,P,P_REQ,13
39314481,1,P,P_DONE,13
39318545,0,P,P_REQ,14
39320100,0,P,P_DONE,14
39321262,1,C,C_REQ,-1
39322718,1,C,C_DONE,13
39308658,0,C,C_DONE,12
40634411,1,C,C_REQ,-1
40637270,1,C,C_DONE,14
41399840,0,P,P_REQ,15
41402449,0,P,P_DONE,15
43467240,0,C,C_REQ,-1
43470373,0,C,C_DONE,15
45691904,1,C,C_REQ,-1
48087265,1,P,P_REQ,16
48099634,1,P,P_DONE,16
48103871,1,P,P_REQ,17
48104114,1,P,P_DONE,17
48107259,1,C,C_DONE,16
48585675,0,C,C_REQ,-1
48587500,0,C,C_DONE,17
49378940,1,C,C_REQ,-1
49830181,0,P,P_REQ,18
49851137,0,P,P_DONE,18
49885468,1,C,C_DONE,18
51122269,1,C,C_REQ,-1
52929465,1,P,P_REQ,19
52942355,1,P,P_DONE,19
52947580,1,P,P_REQ,20
52947788,1,P,P_DONE,20
52954603,1,C,C_DONE,19
52959617,1,C,C_REQ,-1
52960739,1,C,C_DONE,20
54898587,0,P,P_REQ,21
54901880,0,P,P_DONE,21
55750534,0,C,C_REQ,-1
55753083,0,C,C_DONE,21
57105515,1,C,C_REQ,-1
58510171,0,P,P_REQ,22
58520247,0,P,P_DONE,22
58529126,1,C,C_DONE,22
60643241,1,P,P_REQ,23
60646592,1,P,P_DONE,23
62749012,1,C,C_REQ,-1
62756748,1,C,C_DONE,23
64153832,0,C,C_REQ,-1
65306598,1,C,C_REQ,-1
68726785,0,P,P_REQ,24
68734725,0,P,P_DONE,24
68740850,0,C,C_DONE,24
70430754,1,P,P_REQ,25
70439578,1,P,P_DONE,25
70523070,1,C,C_DONE,25
71952665,0,P,P_REQ,26
71976879,0,P,P_DONE,26
78197754,0,P,P_REQ,27
78207531,0,P,P_DONE,27
79706067,1,P,P_REQ,28
79708604,1,P,P_DONE,28
79721832,0,C,C_REQ,-1
79724030,0,C,C_DONE,26
79742325,1,C,C_REQ,-1
79744040,1,C,C_DONE,27
82267663,0,C,C_REQ,-1
82269946,0,C,C_DONE,28
84817743,0,C,C_REQ,-1
86019783,1,C,C_REQ,-1
86889658,0,P,P_REQ,29
86897458,0,P,P_DONE,29
86905646,0,C,C_DONE,29
87841788,1,P,P_REQ,30
87850058,1,P,P_DONE,30
88210001,1,C,C_DONE,30
90609610,1,C,C_REQ,-1
91667968,1,P,P_REQ,31
91674024,1,P,P_DONE,31
91682627,1,C,C_DONE,31
95112750,0,C,C_REQ,-1
95746594,0,P,P_REQ,32
95753992,0,P,P_DONE,32
95760823,0,C,C_DONE,32
99599532,0,C,C_REQ,-1
100472471,1,C,C_REQ,-1
100498529,1,P,P_REQ,33
100523499,0,C,C_DONE,33
100530951,1,P,P_DONE,33
102062644,0,P,P_REQ,34
102069269,0,P,P_DONE,34
102078005,1,C,C_DONE,34
106537968,0,P,P_REQ,35
106541039,0,P,P_DONE,35
106745977,0,C,C_REQ,-1
106748150,0,C,C_DONE,35
109053335,0,P,P_REQ,36
109055805,0,P,P_DONE,36
109058493,0,P,P_REQ,37
109058725,0,P,P_DONE,37
109101866,1,P,P_REQ,38
109103445,1,P,P_DONE,38
109112323,1,P,P_REQ,39
109112519,1,P,P_DONE,39
110871467,1,C,C_REQ,-1
110873673,1,C,C_DONE,36
112782608,0,P,P_REQ,40
112784323,0,P,P_DONE,40
116398360,0,C,C_REQ,-1
116401277,0,C,C_DONE,37
125040710,0,P,P_REQ,41
125055705,0,C,C_REQ,-1
125062651,0,C,C_DONE,38
125070127,0,P,P_DONE,41
125040712,1,C,C_REQ,-1
125075378,1,C,C_DONE,39
125042462,1,P,P_REQ,42
125109338,1,P,P_DONE,42
128125061,0,P,P_REQ,43
128130583,0,P,P_DONE,43
128759709,1,P,P_REQ,44
128762443,1,P,P_DONE,44
131114367,1,C,C_REQ,-1
131117165,1,C,C_DONE,40
134797843,0,P,P_REQ,45
134804315,0,P,P_DONE,45
134797847,0,C,C_REQ,-1
134808060,0,C,C_DONE,41
134813398,1,P,P_REQ,46
134814809,1,P,P_DONE,46
138084186,0,P,P_REQ,47
138087340,0,P,P_DONE,47
